Country,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mauritania,MRT,8.17586,no data,10.31029,no data,13.88017,no data,16.03502,13.68266,10.01775,11.40537,no data,no data,9.33055,no data
Mauritius,MUS,17.3871,17.08813,15.17617,14.18328,14.03944,13.24723,14.57315,13.84617,14.96062,14.78901,20.90518,19.45709,19.9625,19.9341
Malawi,MWI,no data,no data,no data,no data,no data,no data,12.51796,15.09788,no data,20.4242,16.33403,21.55158,17.10361,14.34011
Malaysia,MYS,21.01292,no data,16.74557,16.12466,14.03864,18.46463,18.40623,20.97702,19.85116,19.45431,19.80056,19.81079,20.93572,21.67765
North America,NAC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Namibia,NAM,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
New Caledonia,NCL,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Niger,NER,no data,no data,16.88377,17.37597,16.17733,18.91294,18.10404,21.67581,19.19202,18.08453,21.6615,18.51086,15.34716,13.21516
Nigeria,NGA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Nicaragua,NIC,no data,no data,no data,no data,no data,no data,22.75367,no data,no data,no data,19.31385,18.6543,17.91958,no data
Netherlands,NLD,11.87694,12.33591,11.97108,11.76275,11.87849,11.61846,11.66905,11.88771,11.77607,12.09424,12.1508,12.20965,12.80686,no data
Norway,NOR,16.4396,16.54838,15.86487,15.99489,15.85855,15.64057,15.22733,14.95735,17.42965,17.26891,17.04335,15.72807,15.97161,no data
Nepal,NPL,21.61336,22.29422,25.50064,21.14614,22.23003,19.87293,16.03235,17.98384,17.43708,17.56964,18.28129,16.98966,19.1285,15.74647
Nauru,NRU,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
New Zealand,NZL,17.00461,16.25796,15.16337,14.98482,14.07769,15.3436,15.68851,15.77792,17.76722,16.55307,16.27686,16.37508,16.82011,no data
OECD members,OED,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Oman,OMN,10.31647,10.05364,11.22463,no data,no data,10.94918,no data,no data,no data,11.08018,no data,no data,no data,15.34366
Other small states,OSS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Pakistan,PAK,11.22935,13.77751,15.2891,15.44552,14.09696,11.86443,11.86466,10.92461,11.04063,11.51398,11.30066,13.18728,15.06348,14.54478
Panama,PAN,14.56827,no data,no data,no data,14.88983,no data,no data,13.01972,no data,no data,no data,no data,no data,no data
Peru,PER,15.27385,14.27852,14.0353,14.14177,14.53442,14.59631,13.55558,13.55255,14.36907,15.22388,16.21989,17.57486,17.8701,18.23592
Philippines,PHL,12.75085,12.42236,13.26853,13.66702,14.44199,13.21116,no data,no data,no data,no data,no data,no data,no data,no data
Palau,PLW,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Papua New Guinea,PNG,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Poland,POL,12.28659,12.22228,12.66541,11.26715,11.37921,11.07648,11.06464,10.98486,11.22697,11.59794,11.57975,11.54799,11.28603,no data
Pre-demographic dividend,PRE,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Puerto Rico,PRI,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
"Korea, Dem. People’s Rep.",PRK,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Portugal,PRT,10.96746,10.85812,10.87095,11.0547,10.37183,11.07481,10.42656,10.23923,10.19303,10.56848,9.90569,10.152,no data,no data
Paraguay,PRY,18.21824,no data,no data,19.42472,no data,no data,18.76241,23.29774,19.63423,no data,no data,no data,18.15432,no data
West Bank and Gaza,PSE,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Pacific island small states,PSS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Post-demographic dividend,PST,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
French Polynesia,PYF,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Qatar,QAT,12.05313,13.74476,no data,no data,15.05552,14.83565,13.81727,13.10685,12.30603,13.1471,12.74315,no data,no data,8.56085
Romania,ROU,9.84331,10.83668,12.71962,12.00496,11.61622,11.02129,9.12913,8.32978,8.43579,no data,9.25695,9.0876,no data,no data
Russian Federation,RUS,11.17591,11.95057,12.4258,no data,11.95923,no data,no data,no data,11.14676,10.86184,11.48852,10.86947,10.98528,no data
Rwanda,RWA,no data,no data,no data,17.78655,15.59151,no data,17.54806,15.34338,15.81547,16.85963,13.73432,12.53905,12.27839,11.07961
South Asia,SAS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
